"","ID","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"215720_s_at","215720_s_at","NFYA",-0.161804219714672,4.29519562579431,-3.60306738565041,0.00136859601173064,0.247447083236855,-0.968227405132243
"90610_at","90610_at","LRCH4",-0.165055805487128,6.64945922277805,-3.60095263425982,0.00137590884840973,0.247447083236855,-0.972696203899866
"222181_at","222181_at","CNOT2",-0.181251058469031,4.40309361857657,-3.60064130168552,0.00137698866047525,0.247447083236855,-0.97335404986193
"207143_at","207143_at","CDK6",-0.170905002920797,5.44477112485532,-3.59420551482239,0.00139949668687298,0.249479877388725,-0.986950087353329
"203808_at","203808_at","AKT2",-0.23582999630997,4.48071188148849,-3.58588315122852,0.00142913633474473,0.252741626564418,-1.00452370591214
"220067_at","220067_at","SPTBN5",-0.18795672062986,6.46858529257503,-3.58202947732649,0.00144306788065505,0.253195917989264,-1.01265811374297
"219861_at","219861_at","DNAJC17",-0.157120549462446,4.9620694240827,-3.57627585369483,0.00146411520531274,0.254881868124873,-1.02479932843394
"206266_at","206266_at","GPLD1",-0.205690332785495,5.22084799824366,-3.57085759837929,0.00148420966015311,0.255731959465228,-1.03622883300079
"204954_s_at","204954_s_at","DYRK1B",-0.270012066625417,6.23439818073168,-3.56797801948882,0.00149499837226875,0.255731959465228,-1.04230154386673
"216562_at","216562_at",NA,-0.282507907714358,5.53622133282779,-3.56574217455827,0.00150342802539805,0.255731959465228,-1.0470159221728
"220664_at","220664_at","SPRR2C",-0.128968941767988,4.66622346475809,-3.55788138576914,0.0015334349979395,0.258860091356712,-1.06358536952186
"218953_s_at","218953_s_at","PCYOX1L",0.20549476905532,6.93609893296082,3.54474668754562,0.001584883359472,0.265533503000862,-1.09125258520347
"207685_at","207685_at","CRYBB3",-0.188915897874815,6.28359621490681,-3.53644814170803,0.00161825276080241,0.267684945113212,-1.1087204534742
"206255_at","206255_at","BLK",-0.173490174822916,4.78320782864755,-3.53360188508639,0.00162985496240676,0.267684945113212,-1.11470939484077
"208930_s_at","208930_s_at","ILF3",-0.305649275116712,6.16074958253696,-3.5326474844852,0.0016337635208633,0.267684945113212,-1.11671733678404
"214192_at","214192_at","NUP88",-0.236552545387208,6.55780859771315,-3.52430511999181,0.00166831944820355,0.271269891523532,-1.1342631238679
